0.07,17,20.95,0.037,57.939
0.44,17,20.95,0.026,58.913
0.81,17,20.95,0.033,57.939
1.18,17,20.95,0.026,57.452
1.54,17,20.95,0.026,58.913
1.91,17,20.95,0.018,57.939
2.28,17,20.95,0.029,58.426
2.65,17,20.95,0.026,58.426
3.02,17,20.95,0.026,59.4
3.38,17,20.95,0.033,57.939
3.75,16,20.95,0.026,57.939
4.12,16,20.95,0.026,58.426
4.49,16,20.95,0.029,58.426
4.85,16,20.95,0.033,57.939
5.22,16,20.95,0.026,58.426
5.59,16,20.95,0.029,57.452
5.96,16,20.95,0.033,57.939
6.33,16,20.95,0.015,57.452
6.69,16,20.95,0.029,58.426
7.06,16,20.95,0.033,57.939
7.43,16,20.95,0.037,58.426
7.8,16,20.95,0.051,57.939
8.16,16,20.95,0.029,58.913
8.53,16,20.95,0.044,58.426
8.9,16,20.95,0.04,57.939
9.27,16,20.95,0.022,56.965
9.64,16,20.95,0.037,58.426
10.0,16,20.95,0.029,57.939
10.37,16,20.95,-0.0,58.426
10.74,16,20.95,-0.044,58.913
11.11,16,20.95,-0.007,58.913
11.47,16,20.95,0.018,57.939
11.84,17,20.95,-0.0,57.939
12.21,17,20.95,-0.004,57.939
12.57,17,20.95,0.0,58.426
12.94,17,20.95,-0.004,59.4
13.31,17,20.95,0.004,58.426
13.68,17,20.95,0.033,58.913
14.04,17,20.95,0.026,57.939
14.41,17,20.95,0.029,57.452
14.78,17,20.95,0.029,58.426
15.15,17,20.95,0.044,57.939
15.52,17,20.95,0.029,58.426
15.88,16,20.95,0.026,58.913
16.25,17,20.95,0.029,58.913
16.62,17,20.95,0.029,58.913
16.99,17,20.95,0.022,57.939
17.36,17,20.95,0.022,58.426
17.72,17,20.95,0.022,58.913
18.09,17,20.95,0.022,57.939
18.46,17,20.95,0.018,58.426
18.83,17,20.95,0.018,58.913
19.19,17,20.95,0.022,57.939
19.56,17,20.95,0.015,58.426
19.93,17,20.95,0.022,57.939
20.3,17,20.95,0.026,57.939
20.66,17,20.95,0.015,57.452
21.03,17,20.95,0.022,58.426
21.4,17,20.95,0.026,57.452
21.77,17,20.95,0.026,58.426
22.13,17,20.95,0.029,57.939
22.5,17,20.95,0.026,58.426
22.87,17,20.95,0.029,58.426
23.24,17,20.95,0.022,58.913
23.6,17,20.95,0.026,57.939
23.97,17,20.95,0.029,58.913
24.34,16,20.95,0.011,58.426
24.71,16,20.95,0.022,58.426
25.07,16,20.95,0.022,57.452
25.44,16,20.95,0.029,57.939
25.81,16,20.95,0.015,57.452
26.18,16,20.95,0.022,58.426
26.54,16,20.95,0.026,57.939
26.91,16,20.95,0.018,58.426
27.28,16,20.95,0.029,58.426
27.65,16,20.95,0.029,58.913
28.01,16,20.95,0.026,58.426
28.38,16,20.95,0.022,57.452
28.75,16,20.95,0.033,58.913
29.12,16,20.95,0.022,58.426
29.48,16,20.95,0.022,58.426
29.85,16,20.95,0.026,58.913
30.22,16,20.95,0.022,58.426
30.58,16,20.95,0.022,58.426
30.95,16,20.95,0.026,58.426
31.32,16,20.95,0.018,57.939
31.69,16,20.95,0.022,58.426
32.05,16,20.95,0.022,58.426
32.42,16,20.95,0.022,58.426
32.79,16,20.95,0.029,57.939
33.16,16,20.95,0.026,58.913
33.52,16,20.95,0.026,58.426
33.89,16,20.95,0.029,58.426
34.26,16,20.95,0.029,58.913
34.63,16,20.95,0.033,58.426
34.99,16,20.95,0.015,57.939
35.36,16,20.95,0.026,58.426
35.73,16,20.95,0.018,58.426
36.1,16,20.95,0.026,57.939
36.46,16,20.95,0.029,58.426
36.83,16,20.95,0.033,57.939
37.2,16,20.95,0.026,58.426
37.57,16,20.95,0.033,58.426
37.93,16,20.95,0.018,58.426
